File,outfile,unit_old,nbands,var,unit_new, operation
mrh,LPJmL_rh.nc,gramC_Per_m2,12,rh,kgC_per_m2, division by 1000
mgpp,LPJmL_gpp.nc,gramC_Per_m2,12,gpp,kgC_per_m2, division by 1000
mnpp,LPJmL_npp.nc,gramC_Per_m2,12,npp,kgC_per_m2, division by 1000
soilc,LPJmL_cSoil.nc,gramC_Per_m2,1,cSoil, kgC_Per_m2,division by 1000
vegc,LPJmL_cVeg.nc,gramC_Per_m2,1,cVeg, kgC_Per_m2,division by 1000
litc,LPJmL_cLitter.nc,gramC_Per_m2,1,cLitter, kgC_Per_m2,division by 1000
flux_harvest,LPJmL_fHarvest.nc,gramC_Per_m2,1,fHarvest,kgC_Per_m2,division by 1000
firec,LPJmL_fFire.nc,gramC_Per_m2,1,fFire,kgC_Per_m2,division by 1000
flux_estab,LPJmL_fEstab.nc,gramC_Per_m2,1,fEstab,kgC_Per_m2,division by 1000
cft_npp.pft,LPJmL_npppft.nc,gramC_Per_m2,41,npppft,kgC_Per_m2,division by 1000
pft_harvest.pft,LPJmL_harvestpft.nc,gramC_Per_m2,32,harvestpft,kgC_Per_m2,division by 1000
pft_rharvest.pft,LPJmL_rharvestpft.nc,gramC_Per_m2,32,rharvestpft,kgC_Per_m2,division by 1000
