"","lon","lat"
"1",4.25,44.25
"2",4.25,44.75
"3",4.75,43.25
"4",4.75,43.75
"5",4.75,44.25
"6",4.75,44.75
"7",4.75,45.25
"8",4.75,45.75
"9",4.75,46.25
"10",4.75,46.75
"11",4.75,47.25
"12",5.25,43.75
"13",5.25,44.25
"14",5.25,44.75
"15",5.25,45.25
"16",5.25,45.75
"17",5.25,46.25
"18",5.25,46.75
"19",5.25,47.25
"20",5.25,47.75
"21",5.75,43.75
"22",5.75,44.25
"23",5.75,44.75
"24",5.75,45.25
"25",5.75,45.75
"26",5.75,46.25
"27",5.75,46.75
"28",5.75,47.25
"29",5.75,47.75
"30",6.25,43.75
"31",6.25,44.25
"32",6.25,44.75
"33",6.25,45.25
"34",6.25,45.75
"35",6.25,46.25
"36",6.25,46.75
"37",6.25,47.25
"38",6.25,47.75
"39",6.75,44.25
"40",6.75,44.75
"41",6.75,45.25
"42",6.75,45.75
"43",6.75,46.25
"44",6.75,47.25
"45",6.75,47.75
"46",7.25,46.25
"47",7.75,46.25
